0,1,2,3,4,5
1738639500000,2800.5,2805.45,2797.2,2798.18,5312.568
1738639800000,2798.18,2807.0,2793.88,2796.48,2211.0906
1738640100000,2796.48,2802.41,2792.22,2798.02,2436.5103
1738640400000,2798.02,2808.89,2798.01,2806.15,2300.5899
1738640700000,2806.14,2806.92,2796.71,2796.71,1767.8962
1738641000000,2796.7,2805.0,2796.7,2804.53,1362.3421
1738641300000,2804.54,2811.86,2803.82,2811.0,1910.9945
1738641600000,2810.99,2821.99,2810.53,2818.26,3685.2634
1738641900000,2818.25,2826.26,2816.59,2822.61,2525.2586
1738642200000,2822.62,2836.68,2817.36,2834.28,3739.4936
1738642500000,2834.27,2834.27,2823.14,2828.0,2609.7264
1738642800000,2827.99,2827.99,2817.58,2821.27,2062.4551
1738643100000,2821.27,2827.49,2820.03,2822.54,1188.2913
1738643400000,2822.54,2823.4,2812.79,2822.14,2507.6938
1738643700000,2822.12,2830.76,2813.99,2814.0,1952.7892
1738644000000,2814.0,2821.73,2810.09,2810.32,2257.661
1738644300000,2810.32,2814.5,2799.22,2800.28,2748.2024
1738644600000,2800.29,2800.51,2794.4,2797.4,2377.8154
1738644900000,2797.4,2801.45,2795.8,2800.59,1669.774
1738645200000,2800.59,2805.0,2769.5,2773.55,6441.7542
1738645500000,2773.55,2773.56,2735.29,2746.01,16115.0865
1738645800000,2746.01,2753.39,2710.59,2716.09,11865.7046
1738646100000,2716.14,2727.0,2663.21,2684.51,30420.532
1738646400000,2684.62,2720.29,2684.08,2696.26,17409.663
1738646700000,2696.32,2704.66,2685.96,2700.6,9883.3825
1738647000000,2700.5,2708.86,2666.23,2666.69,9241.5212
1738647300000,2666.69,2688.66,2664.4,2670.89,11319.1136
1738647600000,2670.86,2692.11,2670.46,2677.58,7470.5761
1738647900000,2677.5,2712.65,2664.24,2703.0,10636.0984
1738648200000,2702.99,2710.5,2697.99,2701.17,5795.9719
1738648500000,2701.17,2701.93,2687.23,2691.07,3854.3464
1738648800000,2691.07,2717.07,2691.07,2716.8,4843.9386
1738649100000,2716.79,2723.94,2710.01,2716.77,8065.1996
1738649400000,2716.76,2721.0,2713.07,2719.05,4244.2243
1738649700000,2719.05,2732.0,2714.32,2726.91,6204.2006
1738650000000,2726.92,2726.92,2699.89,2704.37,8607.9708
1738650300000,2704.36,2705.53,2694.09,2696.71,8598.0222
1738650600000,2696.7,2712.38,2695.19,2709.07,3832.5784
1738650900000,2709.07,2714.9,2697.72,2705.4,2724.3414
1738651200000,2705.39,2719.7,2704.52,2718.53,3823.8483
1738651500000,2718.53,2723.13,2712.19,2721.06,2677.8813
1738651800000,2721.05,2724.62,2715.85,2721.28,1844.0985
1738652100000,2721.27,2729.26,2718.0,2727.61,2083.9926
1738652400000,2727.6,2734.5,2720.05,2732.35,2487.6321
1738652700000,2732.35,2733.17,2719.18,2719.85,3377.3404
1738653000000,2719.85,2721.99,2717.07,2721.1,2069.9633
1738653300000,2721.11,2734.31,2716.11,2732.69,2773.8185
1738653600000,2732.68,2733.3,2717.24,2719.08,1982.1481
1738653900000,2719.09,2719.14,2706.66,2710.66,1705.5877
1738654200000,2710.66,2718.14,2704.53,2705.01,3137.2166
1738654500000,2705.02,2719.81,2705.02,2708.1,2890.5333
1738654800000,2708.11,2709.3,2699.49,2703.61,3178.3872
1738655100000,2703.62,2704.95,2691.0,2695.34,4976.2911
1738655400000,2695.35,2704.66,2685.49,2692.47,4770.936
1738655700000,2692.5,2707.27,2690.52,2703.53,3272.1316
1738656000000,2703.54,2706.34,2688.4,2692.24,3303.4595
1738656300000,2692.23,2717.0,2690.47,2715.99,3257.989
1738656600000,2715.99,2723.96,2708.88,2714.71,3183.031
1738656900000,2714.71,2715.58,2702.19,2703.99,2721.8814
1738657200000,2704.0,2715.41,2703.01,2708.06,3911.7027
1738657500000,2708.06,2718.0,2704.14,2712.88,3624.0007
1738657800000,2712.88,2717.58,2700.51,2702.27,2353.1035
1738658100000,2702.27,2702.96,2688.49,2694.06,4200.1301
1738658400000,2694.07,2702.32,2678.28,2679.95,6109.1962
1738658700000,2679.96,2692.0,2677.0,2686.9,3687.0483
1738659000000,2686.73,2695.62,2684.71,2686.44,2302.5863
1738659300000,2686.44,2702.44,2684.93,2698.31,2970.9729
1738659600000,2698.31,2709.65,2696.18,2708.52,3199.512
1738659900000,2708.5,2710.82,2703.51,2709.0,1753.4952
1738660200000,2708.99,2714.58,2701.49,2707.17,1703.3541
1738660500000,2707.18,2707.18,2699.16,2706.73,1670.3997
1738660800000,2706.72,2717.49,2704.57,2715.95,1909.2096
1738661100000,2715.95,2716.09,2708.52,2709.49,1242.7789
1738661400000,2709.5,2712.0,2703.51,2711.75,1262.2879
1738661700000,2711.75,2717.0,2709.06,2710.5,1135.9406
1738662000000,2710.49,2710.74,2705.41,2710.19,1041.7411
1738662300000,2710.18,2711.8,2703.02,2710.56,1618.4142
1738662600000,2710.55,2712.5,2698.24,2698.87,2249.1097
1738662900000,2698.87,2702.25,2690.78,2694.97,2956.0671
1738663200000,2694.97,2712.56,2693.88,2709.42,2299.02
1738663500000,2709.42,2723.6,2707.33,2715.98,3270.0729
1738663800000,2715.98,2719.85,2713.35,2715.94,1460.495
1738664100000,2715.93,2729.84,2714.13,2723.28,2889.1937
1738664400000,2723.27,2729.99,2722.41,2729.96,3216.3082
1738664700000,2729.96,2729.97,2721.67,2723.72,1976.8942
1738665000000,2723.72,2730.0,2720.08,2729.84,3090.0685
1738665300000,2729.84,2733.55,2726.32,2728.52,2786.9879
1738665600000,2728.53,2755.65,2724.32,2751.66,4833.9562
1738665900000,2751.66,2751.66,2736.24,2744.53,4335.7514
1738666200000,2744.53,2745.4,2736.3,2741.11,2253.0246
1738666500000,2741.13,2758.78,2737.75,2750.01,3534.3194
1738666800000,2750.0,2776.02,2748.4,2775.85,3419.7102
1738667100000,2775.85,2788.41,2769.67,2787.11,4333.6191
1738667400000,2787.1,2789.44,2775.44,2776.88,4470.8794
1738667700000,2776.89,2780.7,2770.0,2775.82,3929.7635
1738668000000,2775.82,2778.71,2767.44,2771.62,2985.7904
1738668300000,2771.61,2780.0,2770.85,2774.38,2892.865
1738668600000,2774.37,2775.99,2764.53,2767.99,3919.4504
1738668900000,2767.98,2777.0,2766.3,2768.56,2418.2847
1738669200000,2768.56,2775.57,2766.69,2773.71,2377.6954
1738669500000,2773.72,2775.8,2769.85,2775.25,1505.0508
1738669800000,2775.26,2776.24,2764.56,2764.56,1719.7089
1738670100000,2764.56,2764.56,2754.17,2757.99,2955.8835
1738670400000,2757.99,2767.51,2757.65,2765.69,2127.3387
1738670700000,2765.68,2770.48,2763.47,2768.35,1461.326
1738671000000,2768.36,2773.99,2766.83,2770.0,1460.3642
1738671300000,2770.0,2780.0,2769.21,2777.03,1953.8494
1738671600000,2777.03,2779.17,2771.81,2774.35,1873.3749
1738671900000,2774.36,2788.8,2774.36,2788.32,3092.9977
1738672200000,2788.33,2814.2,2788.33,2812.81,5862.6234
1738672500000,2812.82,2821.0,2799.73,2805.26,5912.1015
1738672800000,2805.27,2805.27,2793.49,2797.17,3896.4594
1738673100000,2797.16,2800.56,2787.28,2800.14,2701.2383
1738673400000,2800.14,2819.32,2794.31,2811.66,3688.8549
1738673700000,2811.67,2813.12,2803.74,2804.99,2687.3585
1738674000000,2804.99,2820.0,2800.59,2816.81,3305.8983
1738674300000,2816.81,2823.06,2811.9,2818.98,4007.3046
1738674600000,2818.98,2828.23,2816.11,2825.74,3599.0503
1738674900000,2825.75,2829.64,2818.58,2829.64,4869.2908
1738675200000,2829.64,2834.0,2824.64,2829.09,4336.116
1738675500000,2829.08,2832.92,2821.16,2830.73,2989.7028
1738675800000,2830.74,2836.0,2819.08,2823.87,5253.2972
1738676100000,2823.87,2833.46,2820.0,2826.07,4237.411
1738676400000,2826.04,2832.0,2822.57,2825.58,3263.5665
1738676700000,2825.58,2829.45,2816.62,2824.45,2052.4261
1738677000000,2824.45,2825.86,2804.12,2806.72,3057.5812
1738677300000,2806.73,2814.34,2790.63,2795.88,6158.4042
1738677600000,2795.87,2810.31,2795.6,2803.3,2837.11
1738677900000,2803.31,2804.46,2794.93,2798.5,2029.7518
1738678200000,2798.5,2800.89,2774.72,2781.58,6080.5407
1738678500000,2781.58,2798.96,2781.58,2798.71,2777.8956
