0,1,2,3,4,5
1744163700000,1434.09,1436.49,1429.54,1435.3,4242.3026
1744164000000,1435.31,1445.36,1435.31,1441.51,9125.6524
1744164300000,1441.5,1454.69,1440.46,1446.37,7824.5409
1744164600000,1446.36,1452.58,1441.96,1448.39,6717.4897
1744164900000,1448.38,1451.44,1444.85,1446.77,3487.5434
1744165200000,1446.77,1447.61,1440.45,1441.81,3871.9415
1744165500000,1441.8,1442.22,1432.6,1435.15,3772.6838
1744165800000,1435.15,1442.73,1435.15,1439.93,3494.6618
1744166100000,1439.93,1440.95,1435.03,1437.49,2601.845
1744166400000,1437.49,1437.5,1422.76,1425.04,5472.9755
1744166700000,1425.04,1429.68,1424.33,1426.07,7994.9881
1744167000000,1426.08,1427.63,1421.48,1427.51,4444.5107
1744167300000,1427.52,1427.65,1415.17,1419.04,4068.8416
1744167600000,1419.04,1425.99,1416.08,1416.25,4326.5459
1744167900000,1416.26,1419.49,1412.06,1415.92,6545.8944
1744168200000,1415.93,1423.71,1415.8,1423.44,6866.7459
1744168500000,1423.44,1426.63,1419.78,1420.83,7528.2064
1744168800000,1420.83,1425.65,1419.81,1420.64,2819.1796
1744169100000,1420.64,1420.74,1415.71,1418.09,6825.1551
1744169400000,1418.1,1424.84,1415.88,1422.89,2801.1862
1744169700000,1422.89,1423.59,1415.81,1416.71,3575.5686
1744170000000,1416.71,1417.9,1407.81,1412.68,5727.8432
1744170300000,1412.68,1418.7,1412.68,1413.52,2689.4302
1744170600000,1413.52,1422.92,1413.52,1421.93,3317.255
1744170900000,1421.92,1422.44,1417.1,1418.8,3923.4648
1744171200000,1418.79,1437.45,1414.77,1426.95,16654.161
1744171500000,1426.93,1429.68,1423.38,1423.38,5835.9556
1744171800000,1423.36,1438.34,1422.72,1432.12,7763.9781
1744172100000,1432.12,1442.81,1432.12,1432.69,6023.0611
1744172400000,1432.69,1434.24,1427.21,1428.8,5818.633
1744172700000,1428.8,1429.91,1423.72,1428.95,4311.7173
1744173000000,1428.95,1436.7,1428.36,1435.46,4000.0443
1744173300000,1435.46,1448.51,1435.46,1442.35,7327.2209
1744173600000,1442.36,1446.5,1440.5,1445.11,4159.4107
1744173900000,1445.11,1450.6,1441.2,1444.97,5456.2848
1744174200000,1444.97,1446.86,1441.16,1441.62,3118.3654
1744174500000,1441.63,1441.97,1437.84,1440.72,4484.0271
1744174800000,1440.71,1447.06,1439.47,1446.7,5843.7762
1744175100000,1446.71,1452.53,1441.51,1449.98,5702.0785
1744175400000,1449.98,1455.98,1448.12,1449.94,4285.5121
1744175700000,1449.95,1454.16,1449.31,1451.5,3083.3752
1744176000000,1451.49,1456.8,1451.25,1454.2,3862.6765
1744176300000,1454.21,1464.8,1453.17,1460.17,8968.9429
1744176600000,1460.16,1460.24,1454.51,1457.96,4247.6628
1744176900000,1457.96,1460.91,1452.86,1456.11,3062.1595
1744177200000,1456.1,1458.03,1454.64,1455.69,2320.4967
1744177500000,1455.68,1459.51,1452.86,1459.51,3175.1218
1744177800000,1459.51,1462.1,1454.63,1454.89,2383.3761
1744178100000,1454.9,1459.15,1454.27,1459.15,2000.1875
1744178400000,1459.15,1465.95,1457.99,1461.55,3546.4823
1744178700000,1461.54,1469.13,1461.06,1466.75,3554.701
1744179000000,1466.76,1476.83,1465.74,1474.99,5733.8696
1744179300000,1475.0,1475.7,1467.36,1468.15,4139.6399
1744179600000,1468.16,1470.47,1465.86,1466.59,2890.6293
1744179900000,1466.59,1467.59,1463.33,1465.15,2596.7725
1744180200000,1465.11,1466.99,1462.9,1464.32,2431.4069
1744180500000,1464.33,1467.0,1461.88,1464.48,2281.1562
1744180800000,1464.48,1470.48,1463.79,1468.48,2347.9982
1744181100000,1468.48,1470.0,1462.55,1463.02,2900.9078
1744181400000,1463.03,1464.45,1460.55,1462.49,1863.8807
1744181700000,1462.5,1464.74,1458.14,1459.99,2796.7873
1744182000000,1459.99,1481.2,1458.36,1474.81,26146.7835
1744182300000,1474.82,1476.68,1467.76,1469.83,4886.489
1744182600000,1469.82,1475.66,1468.72,1475.66,4053.3827
1744182900000,1475.67,1476.43,1470.7,1471.32,4001.2191
1744183200000,1471.31,1474.04,1468.05,1473.67,2362.2005
1744183500000,1473.66,1480.51,1472.68,1478.82,4752.9308
1744183800000,1478.83,1488.49,1476.11,1487.64,5831.4816
1744184100000,1487.64,1487.64,1482.84,1484.88,3378.1349
1744184400000,1484.81,1492.02,1482.41,1489.91,5760.0933
1744184700000,1489.9,1489.91,1481.84,1483.51,3837.9671
1744185000000,1483.51,1483.96,1481.0,1481.83,2985.1077
1744185300000,1481.82,1486.72,1481.82,1483.43,2513.4596
1744185600000,1483.45,1487.35,1478.37,1479.64,5965.0328
1744185900000,1479.65,1480.02,1474.15,1475.13,4619.1523
1744186200000,1475.14,1478.19,1472.48,1474.65,3513.527
1744186500000,1474.65,1478.12,1473.41,1477.72,2771.0907
1744186800000,1477.73,1484.26,1476.31,1484.23,2221.8025
1744187100000,1484.23,1488.48,1478.0,1478.49,2605.6309
1744187400000,1478.49,1479.98,1471.0,1475.57,2617.8244
1744187700000,1475.58,1476.54,1471.75,1471.9,2022.1807
1744188000000,1471.9,1475.51,1471.42,1475.07,2228.0352
1744188300000,1475.07,1476.24,1472.36,1474.84,1899.9139
1744188600000,1474.84,1481.13,1473.37,1479.7,2414.583
1744188900000,1479.7,1483.95,1479.31,1482.49,2466.382
1744189200000,1482.48,1484.85,1479.62,1480.4,3064.0903
1744189500000,1480.4,1483.56,1479.0,1483.56,1814.4099
1744189800000,1483.57,1486.0,1482.08,1482.54,1715.2804
1744190100000,1482.55,1482.96,1477.64,1478.52,1430.792
1744190400000,1478.52,1480.26,1475.52,1475.98,2030.7614
1744190700000,1475.97,1477.56,1474.01,1474.79,1704.3972
1744191000000,1474.79,1475.02,1471.26,1471.83,1613.9728
1744191300000,1471.84,1476.65,1471.2,1474.93,1182.5151
1744191600000,1474.94,1479.79,1474.28,1479.45,1266.8396
1744191900000,1479.45,1481.09,1476.03,1476.08,1109.8286
1744192200000,1476.09,1479.84,1475.83,1478.85,1371.6691
1744192500000,1478.85,1482.4,1478.85,1479.55,1552.1127
1744192800000,1479.56,1482.03,1475.14,1475.68,1746.0502
1744193100000,1475.67,1478.41,1473.51,1477.74,2017.7561
1744193400000,1477.75,1484.82,1477.44,1483.85,1882.3823
1744193700000,1483.85,1487.86,1482.64,1482.77,2575.0795
1744194000000,1482.77,1483.17,1478.35,1479.92,1387.9659
1744194300000,1479.93,1483.72,1479.37,1483.06,2160.5613
1744194600000,1483.06,1483.9,1473.83,1474.54,3175.7503
1744194900000,1474.54,1477.01,1472.9,1476.7,2019.4332
1744195200000,1476.69,1479.24,1475.89,1479.1,2212.5062
1744195500000,1479.09,1483.32,1478.9,1481.0,2349.8619
1744195800000,1481.0,1488.0,1480.87,1487.73,3475.4322
1744196100000,1487.72,1496.55,1484.44,1486.45,11921.1852
1744196400000,1486.45,1486.84,1455.29,1458.53,52450.988
1744196700000,1458.52,1461.87,1445.95,1453.76,17107.0023
1744197000000,1453.73,1462.88,1452.65,1461.03,8153.2618
1744197300000,1461.04,1468.35,1454.86,1461.21,8280.6129
1744197600000,1461.2,1461.73,1453.2,1456.02,3809.7182
1744197900000,1456.01,1465.6,1455.63,1461.41,3492.3268
1744198200000,1461.41,1463.14,1447.16,1447.61,5604.7381
1744198500000,1447.61,1453.92,1446.44,1446.44,4412.8251
1744198800000,1446.43,1451.26,1445.07,1449.58,6631.1325
1744199100000,1449.56,1465.65,1446.23,1457.89,14493.8802
1744199400000,1457.92,1458.84,1451.5,1453.38,5409.0029
1744199700000,1453.38,1455.81,1452.99,1455.33,3171.1675
1744200000000,1455.33,1457.68,1449.24,1453.8,4087.6154
1744200300000,1453.82,1454.32,1450.05,1453.51,2951.289
1744200600000,1453.51,1458.15,1452.26,1456.61,3382.4046
1744200900000,1456.61,1460.06,1453.27,1457.62,4998.8963
1744201200000,1457.66,1458.72,1447.44,1448.09,3616.9316
1744201500000,1448.1,1453.12,1447.08,1448.95,2538.4791
1744201800000,1448.95,1452.9,1440.2,1446.79,6007.7947
